40|2|[[40, 76], [38, 80]]
48|0|[[48, 72], [63, 60]]
48|2|[[48, 68]]
48|3|[[48, 55], [72, 64], [52, 60], [49, 64], [67, 62]]
49|3|[[49, 63], [72, 72], [72, 64], [60, 69], [59, 62]]
49|4|[[49, 49], [58, 70], [51, 51], [51, 69]]
50|0|[[50, 71], [59, 59], [72, 67], [61, 69], [54, 54]]
50|0|[[50, 50], [63, 70]]
50|1|[[50, 67], [54, 64], [63, 59]]
50|3|[[50, 50], [55, 48], [52, 52]]
51|0|[[51, 52], [65, 65], [56, 55], [72, 64]]
51|2|[[51, 68], [72, 60], [71, 71], [71, 72]]
51|4|[[51, 63], [70, 69], [60, 61], [61, 70], [65, 49]]
52|0|[[52, 52], [61, 61]]
52|1|[[52, 61], [68, 53], [72, 51], [55, 72]]
52|3|[[52, 72], [60, 67], [60, 50], [56, 72], [48, 64]]
53|2|[[53, 61], [49, 59]]
53|2|[[53, 68], [58, 63], [57, 50], [65, 49]]
53|2|[[53, 59], [66, 66], [62, 62], [48, 49], [64, 51]]
53|3|[[53, 59], [53, 54], [64, 70], [58, 66]]
54|0|[[54, 52], [57, 57]]
54|0|[[54, 71], [62, 62], [55, 71], [68, 66], [59, 70]]
54|1|[[54, 48], [65, 48], [48, 53], [62, 71]]
54|2|[[54, 49], [70, 62]]
54|3|[[54, 53], [64, 63], [65, 61], [48, 48]]
54|3|[[54, 70]]
58|0|[[58, 61], [51, 51], [49, 60]]
58|0|[[58, 52]]
58|1|[[58, 69], [48, 52], [52, 54], [51, 54]]
58|3|[[58, 62]]
58|3|[[58, 52]]
58|4|[[58, 58], [49, 49]]
59|3|[[59, 59], [69, 72], [55, 70], [57, 54], [62, 59]]
60|0|[[60, 60], [50, 72], [52, 68], [55, 55], [53, 67]]
60|1|[[60, 55]]
60|1|[[60, 64], 62, [59, 67]]
60|3|[[60, 58], [66, 66], [60, 68], [69, 56], [70, 59]]
60|4|[[60, 71], [48, 72], [69, 51]]
60|4|[[60, 60]]
61|0|[[61, 54], [69, 50], [69, 69], [64, 64], [48, 67]]
61|1|[[61, 52]]
61|2|[[61, 54], [69, 55], [66, 52], [70, 70], [63, 62]]
61|3|[[61, 66], [48, 55]]
61|4|[[61, 67], [70, 55], [62, 62], [52, 66]]
62|0|[[62, 59], [50, 56], [67, 53], [68, 68], [57, 60]]
62|1|[[62, 62]]
62|4|[[62, 52], [71, 66], [70, 56], [65, 61], [49, 49]]
63|0|[[63, 63], [65, 71], [51, 57], [64, 61]]
63|1|[[63, 49], [55, 55]]
63|1|[[63, 57], [49, 55]]
63|3|[[63, 63], [68, 56], [57, 57], [55, 51]]
63|4|[[63, 54], [51, 69]]
63|4|[[63, 63], [57, 58]]
64|0|[[64, 57], [64, 63], [69, 62]]
64|0|[[64, 61], [54, 57], [58, 65], [55, 55], [69, 51]]
64|1|[[64, 64], [52, 69], [67, 68]]
64|1|[[64, 58], [51, 69], [68, 52], [65, 67], [70, 53]]
64|3|[[64, 72], [66, 72], [66, 64]]
64|3|[[64, 58], [51, 58], [71, 71], [65, 68]]
65|1|[[65, 51], [51, 56], [56, 66]]
65|1|[[65, 60], [60, 71]]
65|2|[[65, 69], [65, 48], [54, 50], [48, 52], [67, 57]]
65|2|[[65, 56], [58, 58]]
65|3|[[65, 66], [62, 70], [54, 62]]
66|1|[[66, 62], [62, 48]]
66|1|[[66, 56], [53, 50], [56, 72]]
66|1|[[66, 52], [48, 48], [66, 60]]
66|4|[[66, 48]]
66|4|[[66, 66], [53, 63]]
67|2|[[67, 67]]
67|2|[[67, 67], [70, 70]]
67|2|[[67, 61], [59, 56], [72, 53], [72, 72], [56, 60]]
67|4|[[67, 67]]
68|0|[[68, 71], [65, 49], [59, 58], [61, 61], [51, 52]]
68|1|[[68, 64], [48, 48]]
68|2|[[68, 61], [68, 71]]
68|2|[[68, 68], [50, 53]]
68|4|[[68, 68], [53, 49], [63, 59]]
70|4|[[70, 65], [62, 64]]
71|1|[[71, 52], [62, 62], [49, 56], [69, 71]]
72|2|[[72, 62], [62, 65], [63, 60], [61, 61]]
72|2|[[72, 65], [71, 50], [69, 56], [49, 58]]
