36|0|[36, 41, 47, 50]
47|4|[47, 45]
48|1|[48, 53, 57, 50]
48|2|[48, 53, 49]
48|2|[48, 52]
49|3|[49, 51, 55]
49|3|[49, 51, 50, 52, 54]
49|4|[49, 51, 57]
49|4|[49, 53, 49, 56]
50|1|[50, 51, 57]
50|2|[50, 52]
51|0|[51, 50]
51|4|[51, 50]
51|4|[51, 50, 51]
52|1|[52, 59, 63, 57, 51]
54|1|[54, 49, 51, 48]
54|2|[54, 55, 50, 51, 54]
54|3|[54, 52, 53, 48, 50]
55|3|[55, 60, 57, 58]
56|1|[56, 63, 65, 61, 64]
56|3|[56, 52, 51, 53, 50]
57|1|[57, 55]
59|0|[59, 63, 64, 59, 57]
59|0|[59, 62, 63, 59, 52]
59|0|[59, 65, 67, 70]
59|0|[59, 65, 67, 70]
59|0|[59, 60]
59|1|[59, 54, 48]
59|2|[59, 62, 63, 59, 52]
59|2|[59, 64, 61, 62]
59|2|[59, 63]
59|3|[59, 53, 55, 53]
60|0|[60, 62, 68]
60|0|[60, 59, 64]
60|0|[60, 61, 64, 71]
60|1|[60, 59, 64]
60|2|[60, 58, 59]
60|3|[60, 67]
60|3|[60, 56, 62, 64]
60|4|[60, 56, 60, 62, 58]
61|0|[61, 66, 71, 67]
61|1|[61, 63, 68, 64, 65]
61|2|[61, 64, 70, 69, 70]
61|2|[61, 59, 64, 58, 53]
61|2|[61, 60, 64, 61]
61|3|[61, 62]
61|3|[61, 66, 71, 67]
62|0|[62, 67]
62|0|[62, 69, 71, 68, 72]
62|0|[62, 67, 71]
62|0|[62, 59]
62|1|[62, 64, 60]
62|1|[62, 58, 56]
62|2|[62, 69, 71, 68, 72]
62|3|[62, 56, 58]
62|4|[62, 67]
63|0|[63, 68, 64]
63|0|[63, 59, 62, 69, 68]
63|0|[63, 59, 62, 69, 68]
63|0|[63, 57, 50, 52, 50]
63|2|[63, 61]
63|2|[63, 59]
63|3|[63, 66, 61, 64, 62]
63|4|[63, 65, 60, 53, 58]
63|4|[63, 57, 50, 52, 50]
64|4|[64, 57, 50, 48, 49]
64|4|[64, 65]
65|0|[65, 66, 70, 65]
65|1|[65, 66, 70, 65]
65|1|[65, 66]
65|2|[65, 69, 71]
65|2|[65, 72, 66]
65|3|[65, 70, 71, 71]
65|3|[65, 68, 65, 64, 71]
65|3|[65, 67, 70, 64, 70]
65|3|[65, 70, 70, 67]
66|0|[66, 72]
66|1|[66, 72]
66|2|[66, 65]
66|4|[66, 60, 65]
66|4|[66, 60, 63]
68|0|[68, 66, 70, 70]
68|2|[68, 63, 70, 72]
68|3|[68, 71]
68|4|[68, 69, 66, 71, 71]
69|0|[69, 66, 68, 65]
69|0|[69, 67]
69|1|[69, 68, 71]
69|2|[69, 64, 57]
70|0|[70, 63, 64]
70|2|[70, 72, 67]
70|2|[70, 68, 63]
70|2|[70, 66]
70|3|[70, 70, 68, 65]
71|0|[71, 69]
72|0|[72, 67, 65]
80|3|[80, 84, 79]
