48|0|[[48, 65], [54, 64], [49, 68], [52, 65], [49, 68]]
48|0|[[48, 59], [54, 58], [50, 62], [55, 56], [60, 60]]
48|0|[[48, 68], [49, 52], [54, 50], [55, 52], [52, 55]]
48|0|[[48, 57], [54, 56], [60, 60], [54, 65], [55, 52]]
48|1|[[48, 59], [53, 61], [56, 64], [60, 60], [58, 64]]
48|2|[[48, 65], [53, 61], [55, 59], [60, 60], [56, 64]]
48|2|[[48, 58], [50, 57], [53, 61], [55, 59], [60, 60]]
48|2|[[48, 66], [49, 62], [48, 61], [53, 59], [56, 53]]
49|0|[[49, 68], [54, 58], [55, 53], [53, 59], [50, 67]]
49|0|[[49, 68], [54, 60], [53, 61], [56, 64], [60, 60]]
49|0|[[49, 68], [54, 64], [59, 59], [64, 63], [70, 66]]
49|0|[[49, 68], [52, 55], [54, 68], [59, 67], [57, 65]]
49|0|[[49, 60], [54, 64], [59, 58], [64, 67], [69, 62]]
49|0|[[49, 68], [52, 64], [58, 66], [63, 64], [60, 60]]
49|0|[[49, 68], [54, 62], [59, 54], [60, 60]]
49|0|[[49, 50], [55, 54], [52, 60], [54, 65], [53, 60]]
49|0|[[49, 60], [53, 63], [51, 62], [55, 56], [56, 55]]
49|0|[[49, 68], [52, 55], [56, 56], [60, 60], [64, 56]]
49|0|[[49, 68], [54, 64], [59, 59], [64, 63], [70, 66]]
49|0|[[49, 68], [54, 52], [56, 58], [60, 60], [64, 56]]
49|0|[[49, 68], [52, 61], [54, 60], [57, 58], [56, 60]]
49|0|[[49, 65], [54, 62], [58, 58], [56, 62], [57, 59]]
49|0|[[49, 63], [55, 57], [59, 51], [56, 52], [54, 54]]
49|0|[[49, 67], [53, 68], [56, 66], [53, 61], [50, 55]]
49|0|[[49, 71], [54, 67], [51, 62], [49, 68], [54, 64]]
49|0|[[49, 62], [54, 68], [60, 60], [54, 56], [55, 72]]
49|0|[[49, 67], [53, 71], [54, 66], [59, 65], [65, 68]]
49|0|[[49, 63], [52, 58], [48, 59], [53, 62], [51, 58]]
49|0|[[49, 68], [52, 58], [56, 52], [54, 48], [59, 58]]
49|1|[[49, 62], [48, 68], [50, 70], [51, 71], [54, 66]]
49|1|[[49, 68], [54, 69], [56, 64], [60, 60], [64, 56]]
49|1|[[49, 68], [54, 64], [59, 59], [64, 63], [70, 66]]
49|2|[[49, 68], [52, 61], [54, 60], [57, 64], [60, 60]]
